IDs,Video,Resolution
NDARAL897CYV,/Volumes/methlab_data/HBN/EEG-ET/NDARAL897CYV/NDARAL897CYV_Video-WK_Samples_ET.mat,1440900
NDARAM048AFP,/Volumes/methlab_data/HBN/EEG-ET/NDARAM048AFP/NDARAM048AFP_Video1_Samples_ET.mat,800600
NDARAM048AFP,/Volumes/methlab_data/HBN/EEG-ET/NDARAM048AFP/NDARAM048AFP_Video2_Samples_ET.mat,800600
NDARAM048AFP,/Volumes/methlab_data/HBN/EEG-ET/NDARAM048AFP/NDARAM048AFP_Video3_Samples_ET.mat,800600
NDARAM197GFY,/Volumes/methlab_data/HBN/EEG-ET/NDARAM197GFY/NDARAM197GFY_Video-DM_Samples_ET.mat,1440900
NDARAM197GFY,/Volumes/methlab_data/HBN/EEG-ET/NDARAM197GFY/NDARAM197GFY_Video-WK_Samples_ET.mat,1440900
NDARAM357BUA,/Volumes/methlab_data/HBN/EEG-ET/NDARAM357BUA/NDARAM357BUA_Video-DM_Samples_ET.mat,1440900
NDARAM357BUA,/Volumes/methlab_data/HBN/EEG-ET/NDARAM357BUA/NDARAM357BUA_Video-TP_Samples_ET.mat,1440900
NDARAM357BUA,/Volumes/methlab_data/HBN/EEG-ET/NDARAM357BUA/NDARAM357BUA_Video-WK_Samples_ET.mat,1440900
NDARAM487XU3,/Volumes/methlab_data/HBN/EEG-ET/NDARAM487XU3/NDARAM487XU3_Video-DM_Samples_ET.mat,800600
NDARAM487XU3,/Volumes/methlab_data/HBN/EEG-ET/NDARAM487XU3/NDARAM487XU3_Video-FF_Samples_ET.mat,800600
NDARAM487XU3,/Volumes/methlab_data/HBN/EEG-ET/NDARAM487XU3/NDARAM487XU3_Video-TP_Samples_ET.mat,800600
NDARAM487XU3,/Volumes/methlab_data/HBN/EEG-ET/NDARAM487XU3/NDARAM487XU3_Video-WK_Samples_ET.mat,800600
NDARAM675UR8,/Volumes/methlab_data/HBN/EEG-ET/NDARAM675UR8/NDARAM675UR8_Video1_Samples_ET.mat,800600
NDARAM675UR8,/Volumes/methlab_data/HBN/EEG-ET/NDARAM675UR8/NDARAM675UR8_Video3_Samples_ET.mat,800600
NDARAM704GKZ,/Volumes/methlab_data/HBN/EEG-ET/NDARAM704GKZ/NDARAM704GKZ_Video1_Samples_ET.mat,800600
NDARAM704GKZ,/Volumes/methlab_data/HBN/EEG-ET/NDARAM704GKZ/NDARAM704GKZ_Video3_Samples_ET.mat,800600
NDARAM848GTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAM848GTE/NDARAM848GTE_Video1_Samples_ET.mat,800600
NDARAM848GTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAM848GTE/NDARAM848GTE_Video2_Samples_ET.mat,800600
NDARAM848GTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAM848GTE/NDARAM848GTE_Video3_Samples_ET.mat,800600
NDARAM848GTE,/Volumes/methlab_data/HBN/EEG-ET/NDARAM848GTE/NDARAM848GTE_Video4_Samples_ET.mat,800600
NDARAM873GAC,/Volumes/methlab_data/HBN/EEG-ET/NDARAM873GAC/NDARAM873GAC_Video1_Samples_ET.mat,800600
NDARAM873GAC,/Volumes/methlab_data/HBN/EEG-ET/NDARAM873GAC/NDARAM873GAC_Video3_Samples_ET.mat,800600
NDARAN076TPG,/Volumes/methlab_data/HBN/EEG-ET/NDARAN076TPG/NDARAN076TPG_Video-DM_Samples_ET.mat,800600
NDARAN076TPG,/Volumes/methlab_data/HBN/EEG-ET/NDARAN076TPG/NDARAN076TPG_Video-FF_Samples_ET.mat,800600
NDARAN076TPG,/Volumes/methlab_data/HBN/EEG-ET/NDARAN076TPG/NDARAN076TPG_Video-WK_Samples_ET.mat,800600
NDARAN160GUF,/Volumes/methlab_data/HBN/EEG-ET/NDARAN160GUF/NDARAN160GUF_Video-DM_Samples_ET.mat,1440900
NDARAN160GUF,/Volumes/methlab_data/HBN/EEG-ET/NDARAN160GUF/NDARAN160GUF_Video-TP_Samples_ET.mat,1440900
NDARAN160GUF,/Volumes/methlab_data/HBN/EEG-ET/NDARAN160GUF/NDARAN160GUF_Video-WK_Samples_ET.mat,1440900
NDARAN385MDH,/Volumes/methlab_data/HBN/EEG-ET/NDARAN385MDH/NDARAN385MDH_Video1_Samples_ET.mat,800600
